Bigram	Bigram Count	Uni Count	Bigram Prob
development in	2	23	0.08695652173913043
in 20	1	1651	0.0006056935190793458
20 years	9	33	0.2727272727272727
years .	25	99	0.25252525252525254
<s> signs	1	2220	0.00045045045045045046
signs that	2	4	0.5
that the	79	612	0.12908496732026145
the economic	1	3676	0.0002720348204570185
economic growth	3	22	0.13636363636363635
growth will	3	25	0.12
will slip	1	389	0.002570694087403599
slip from	1	1	1.0
from 1.9	1	304	0.003289473684210526
1.9 percent	1	1	1.0
percent in	16	136	0.11764705882352941
the third	4	3676	0.001088139281828074
third quarter	3	19	0.15789473684210525
quarter of	3	19	0.15789473684210525
of 1995	4	1569	0.0025493945188017845
1995 came	1	33	0.030303030303030304
came in	2	28	0.07142857142857142
in two	2	1651	0.0012113870381586917
two reports	1	70	0.014285714285714285
reports ,	1	10	0.1
which showed	1	181	0.0055248618784530384
showed industrial	1	5	0.2
industrial output	3	18	0.16666666666666666
output fell	1	18	0.05555555555555555
fell an	1	33	0.030303030303030304
an annual	5	234	0.021367521367521368
annual 3.7	1	17	0.058823529411764705
3.7 percent	1	1	1.0
percent ,	12	136	0.08823529411764706
, while	12	3842	0.0031233732431025507
while orders	1	47	0.02127659574468085
orders for	2	11	0.18181818181818182
for plant	3	521	0.005758157389635317
and machinery	10	1342	0.007451564828614009
machinery slumped	1	16	0.0625
slumped a	1	1	1.0
a yearly	1	1783	0.0005608524957936063
yearly 8	1	2	0.5
8 percent	3	7	0.42857142857142855
in november	19	1651	0.01150817686250757
november .	6	29	0.20689655172413793
<s> or	9	2220	0.004054054054054054
or u.s.	1	134	0.007462686567164179
u.s. robotics	3	86	0.03488372093023256
robotics ,	3	3	1.0
a skokie	3	1783	0.0016825574873808188
skokie ,	3	3	1.0
, illinois	4	3842	0.001041124414367517
illinois ,	6	7	0.8571428571428571
, communications	3	3842	0.0007808433107756377
communications company	3	3	1.0
company that	4	257	0.01556420233463035
that plans	4	612	0.006535947712418301
plans to	74	97	0.7628865979381443
to double	6	1551	0.0038684719535783366
double its	3	9	0.3333333333333333
its workforce	3	369	0.008130081300813009
workforce in	3	3	1.0
in its	22	1651	0.013325257419745608
its home	3	369	0.008130081300813009
home state	3	15	0.2
to 4,000	3	1551	0.0019342359767891683
4,000 and	3	6	0.5
and open	3	1342	0.0022354694485842027
open another	3	21	0.14285714285714285
another plant	9	44	0.20454545454545456
or look	2	134	0.014925373134328358
look at	3	9	0.3333333333333333
at u.s.	2	604	0.0033112582781456954
<s> three	3	2220	0.0013513513513513514
three specimens	1	52	0.019230769230769232
specimens of	1	1	1.0
of each	3	1569	0.0019120458891013384
each plant	2	35	0.05714285714285714
, all	8	3842	0.002082248828735034
all landscape	1	68	0.014705882352941176
landscape size	1	5	0.2
size and	2	7	0.2857142857142857
and from	1	1342	0.0007451564828614009
from the	93	304	0.3059210526315789
the mid-atlantic	1	3676	0.0002720348204570185
mid-atlantic region	1	1	1.0
region ,	2	10	0.2
, are	8	3842	0.002082248828735034
are evaluated	1	166	0.006024096385542169
evaluated by	1	1	1.0
by a	16	290	0.05517241379310345
a committee	1	1783	0.0005608524957936063
committee of	1	4	0.25
of professionals	1	1569	0.0006373486297004461
professionals who	1	1	1.0
who then	1	110	0.00909090909090909
then choose	1	36	0.027777777777777776
choose the	3	5	0.6
the winners	1	3676	0.0002720348204570185
winners .	1	1	1.0
<s> merlo	2	2220	0.0009009009009009009
merlo was	2	2	1.0
was forced	4	265	0.01509433962264151
to resign	2	1551	0.0012894906511927789
resign in	2	3	0.6666666666666666
in july	6	1651	0.0036341611144760752
july after	2	8	0.25
after the	31	92	0.33695652173913043
company was	3	257	0.011673151750972763
was indicted	2	265	0.007547169811320755
indicted for	2	2	1.0
for fraud	2	521	0.003838771593090211
fraud and	2	2	1.0
and environmental	3	1342	0.0022354694485842027
environmental violations	2	23	0.08695652173913043
violations at	2	9	0.2222222222222222
a colorado	2	1783	0.0011217049915872126
colorado plant	2	10	0.2
the federal	9	3676	0.0024483133841131663
federal charges	2	25	0.08
charges allege	2	16	0.125
allege that	2	2	1.0
that company	4	612	0.006535947712418301
at its	58	604	0.09602649006622517
its montrose	2	369	0.005420054200542005
, osb	2	3842	0.0005205622071837585
osb plant	2	2	1.0
equipment in	11	88	0.125
<s> they	13	2220	0.005855855855855856
they lived	1	135	0.007407407407407408
lived in	1	5	0.2
a studio	1	1783	0.0005608524957936063
studio over	1	1	1.0
over a	8	62	0.12903225806451613
a garage	1	1783	0.0005608524957936063
garage up	1	1	1.0
up the	14	98	0.14285714285714285
the street	1	3676	0.0002720348204570185
street ,	3	9	0.3333333333333333
where together	1	89	0.011235955056179775
together they	1	4	0.25
they had	5	135	0.037037037037037035
had killed	1	113	0.008849557522123894
killed an	1	4	0.25
an occasional	2	234	0.008547008547008548
occasional house	1	2	0.5
house plant	1	15	0.06666666666666667
and where	2	1342	0.0014903129657228018
where ms.	1	89	0.011235955056179775
ms. arbeiter	1	6	0.16666666666666666
arbeiter had	1	1	1.0
had painted	1	113	0.008849557522123894
painted for	1	2	0.5
for 10	1	521	0.0019193857965451055
10 years	2	39	0.05128205128205128
<s> others	1	2220	0.00045045045045045046
others called	1	19	0.05263157894736842
called for	2	23	0.08695652173913043
for radical	1	521	0.0019193857965451055
radical change	1	1	1.0
change :	1	11	0.09090909090909091
: rip	1	68	0.014705882352941176
rip out	1	1	1.0
out the	3	70	0.04285714285714286
the hedges	1	3676	0.0002720348204570185
hedges and	1	1	1.0
plant wildflowers	1	2317	0.00043159257660768235
wildflowers in	1	1	1.0
in front	7	1651	0.004239854633555421
front .	1	8	0.125
in addition	12	1651	0.0072683222289521504
addition ,	6	14	0.42857142857142855
, micron	16	3842	0.004164497657470068
micron technology	23	41	0.5609756097560976
technology inc.	21	48	0.4375
inc. said	28	97	0.28865979381443296
said thursday	2	668	0.0029940119760479044
thursday that	3	13	0.23076923076923078
that it	36	612	0.058823529411764705
it had	7	509	0.0137524557956778
had slowed	1	113	0.008849557522123894
slowed the	1	3	0.3333333333333333
the pace	2	3676	0.000544069640914037
pace of	2	5	0.4
of construction	2	1569	0.0012746972594008922
construction for	1	77	0.012987012987012988
for its	8	521	0.015355086372360844
its new	9	369	0.024390243902439025
new $	20	292	0.0684931506849315
$ 1.3	23	387	0.059431524547803614
1.3 billion	22	25	0.88
billion memory	7	153	0.0457516339869281
memory chip	18	31	0.5806451612903226
in lehi	5	1651	0.0030284675953967293
lehi ,	13	14	0.9285714285714286
, utah	17	3842	0.004424778761061947
utah .	2	35	0.05714285714285714
<s> also	3	2220	0.0013513513513513514
also ,	3	104	0.028846153846153848
, schneider	1	3842	0.0002602811035918792
schneider will	1	1	1.0
will complete	1	389	0.002570694087403599
complete next	1	4	0.25
next year	7	36	0.19444444444444445
year a	1	171	0.005847953216374269
a c$	1	1783	0.0005608524957936063
c$ 40	1	2	0.5
40 million	3	14	0.21428571428571427
million hog	1	288	0.003472222222222222
hog processing	1	3	0.3333333333333333
in winnipeg	1	1651	0.0006056935190793458
winnipeg ,	1	1	1.0
, manitoba	1	3842	0.0002602811035918792
manitoba to	1	1	1.0
to overcome	1	1551	0.0006447453255963894
overcome hog	1	1	1.0
hog supply	1	3	0.3333333333333333
supply problems	1	31	0.03225806451612903
problems in	2	22	0.09090909090909091
in ontario	4	1651	0.0024227740763173833
ontario ,	5	9	0.5555555555555556
he said	59	252	0.23412698412698413
<s> its	7	2220	0.003153153153153153
its earnings	1	369	0.0027100271002710027
earnings have	1	18	0.05555555555555555
have also	1	178	0.0056179775280898875
also been	1	104	0.009615384615384616
been crimped	1	91	0.01098901098901099
crimped by	1	1	1.0
by delays	1	290	0.0034482758620689655
delays in	1	2	0.5
in transferring	1	1651	0.0006056935190793458
transferring operations	1	5	0.2
operations from	3	33	0.09090909090909091
from a	29	304	0.09539473684210527
a toronto	1	1783	0.0005608524957936063
toronto plant	1	2	0.5
to its	12	1551	0.007736943907156673
its upgraded	1	369	0.0027100271002710027
upgraded burlington	1	1	1.0
burlington ,	5	6	0.8333333333333334
, ontario	4	3842	0.001041124414367517
ontario hog	1	9	0.1111111111111111
hog plant	1	3	0.3333333333333333
, and	166	3842	0.04320666319625195
and a	63	1342	0.04694485842026826
a decision	5	1783	0.0028042624789680315
decision to	13	21	0.6190476190476191
to reorganize	4	1551	0.0025789813023855577
reorganize its	4	4	1.0
its grocery	1	369	0.0027100271002710027
grocery division	1	1	1.0
division and	1	18	0.05555555555555555
and sell	1	1342	0.0007451564828614009
sell its	5	19	0.2631578947368421
its real	1	369	0.0027100271002710027
real estate	2	5	0.4
estate and	1	2	0.5
and seafood	1	1342	0.0007451564828614009
seafood businesses	1	1	1.0
businesses ,	1	21	0.047619047619047616
, analysts	5	3842	0.0013014055179593961
analysts said	9	23	0.391304347826087
<s> unlike	1	2220	0.00045045045045045046
unlike earlier	1	1	1.0
earlier legislation	1	21	0.047619047619047616
legislation ,	2	4	0.5
the clean	1	3676	0.0002720348204570185
clean air	4	10	0.4
air act	2	20	0.1
act of	1	6	0.16666666666666666
of 1990	1	1569	0.0006373486297004461
1990 applies	1	4	0.25
applies to	1	1	1.0
the corporate	1	3676	0.0002720348204570185
corporate emissions	1	4	0.25
emissions average	1	11	0.09090909090909091
average :	1	5	0.2
: a	4	68	0.058823529411764705
a utility	1	1783	0.0005608524957936063
utility may	1	23	0.043478260869565216
may exceed	1	51	0.0196078431372549
exceed the	1	1	1.0
the limit	1	3676	0.0002720348204570185
limit on	1	4	0.25
on one	4	337	0.011869436201780416
one plant	5	107	0.04672897196261682
plant by	17	2317	0.0073370738023306
by running	1	290	0.0034482758620689655
running a	1	8	0.125
a very	2	1783	0.0011217049915872126
very clean	1	13	0.07692307692307693
clean operation	1	10	0.1
operation at	1	16	0.0625
at another	3	604	0.004966887417218543
another .	1	44	0.022727272727272728
<s> but	47	2220	0.02117117117117117
but among	1	124	0.008064516129032258
among producers	1	12	0.08333333333333333
producers like	1	1	1.0
like romo	1	38	0.02631578947368421
romo ,	1	1	1.0
, success	1	3842	0.0002602811035918792
success brought	1	1	1.0
a debate	1	1783	0.0005608524957936063
debate as	1	2	0.5
as thorny	1	235	0.00425531914893617
thorny as	1	5	0.2
as the	33	235	0.14042553191489363
the cactus-like	2	3676	0.000544069640914037
cactus-like plant	2	2	1.0
plant from	13	2317	0.0056107034958998705
from which	3	304	0.009868421052631578
which the	3	181	0.016574585635359115
the drink	1	3676	0.0002720348204570185
drink is	1	2	0.5
is made	5	447	0.011185682326621925
made .	1	51	0.0196078431372549
the decision	1	3676	0.0002720348204570185
decision means	1	21	0.047619047619047616
means that	3	7	0.42857142857142855
the portion	2	3676	0.000544069640914037
portion of	4	5	0.8
the v-22	1	3676	0.0002720348204570185
v-22 produced	1	1	1.0
produced by	4	23	0.17391304347826086
by boeing	1	290	0.0034482758620689655
boeing at	1	15	0.06666666666666667
its plant	35	369	0.0948509485094851
in ridley	1	1651	0.0006056935190793458
ridley township	1	1	1.0
township ,	1	1	1.0
, pa.	2	3842	0.0005205622071837585
pa. ,	2	2	1.0
, will	31	3842	0.008068714211348256
will be	92	389	0.2365038560411311
be transported	1	249	0.004016064257028112
transported to	3	3	1.0
to bell	1	1551	0.0006447453255963894
bell facilities	1	6	0.16666666666666666
facilities at	1	10	0.1
at arlington	1	604	0.0016556291390728477
arlington municipal	1	4	0.25
municipal airport	1	1	1.0
airport in	2	5	0.4
in arlington	1	1651	0.0006056935190793458
arlington adjacent	1	4	0.25
adjacent to	6	9	0.6666666666666666
to fort	1	1551	0.0006447453255963894
fort worth	7	9	0.7777777777777778
worth and	1	17	0.058823529411764705
and joined	1	1342	0.0007451564828614009
joined with	1	3	0.3333333333333333
portion bell	1	5	0.2
bell produces	1	6	0.16666666666666666
produces at	1	20	0.05
at plants	1	604	0.0016556291390728477
plants around	2	45	0.044444444444444446
